Heading,Contents,Persons,Dates,Cities,Organizations,_id
Powerhouse1,"We are a dental clinic established in Mollerussa that has professionals with extensive experience, always at the technical forefront, which is why we are able to offer the latest treatments when it comes to solving any oral health problem. Our diagnostic tools include modern and minimally invasive methods such as a digital radiology system and a CT scanner, which allows us to perform three-dimensional images, essential in complicated cases of surgery and implantology. This equipment, together with our fish modeling system, allows the realization of implants in just one day. Our goal: to offer a personalized and close treatme",[],21 February 2022,[],[],63a52adfe45bcae2d46b7139
Friedrich,"COOPERATIVA DE ECON E CRED MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA. UNICRED DO ESTADO DE SAO PAULO is located in SUMARE, SAO PAULO, Brazil and is part of the Nondepository Credit Intermediation Industry. There are 25 companies in the COOPERATIVA DE ECON E CRED MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA. UNICRED DO ESTADO DE SAO PAULO corporate family.",[SUMARE SAO],15 February 2022,[],[Brazil Nondepository Credit Intermediation Industry],63a52adfe45bcae2d46b713a
Rodonaves Transportes E Encomendas Ltda,"Founded in 2012, Claro Colombia is a company that provides telecommunications specializing in mobile phone services, and Internet services",[],7 February 2022,[],[],63a52adfe45bcae2d46b713b
Emil Frey,"Established in 1994 and headquartered in Garden City, Egypt, Ezz Steel is a producer of steel product",[],1 February 2022,[Garden City Egypt Ezz Steel],[],63a52adfe45bcae2d46b713c
Creative Liquid Coatings INC,"Metro US: Local, National, International News
Metro.us delivers local, national, international, entertainment and sports news 24/7 — all you need to know on a daily basis.",[],24 January 2022,[],[Metro US],63a52adfe45bcae2d46b713d
Grupo5,The Family Christian Health Center was founded and developed in April 2000 by a group of family practitioners that got together to try and solve the lack of med,[],22 January 2022,[],[The Family Christian Health Center],63a52adfe45bcae2d46b713e
Centre D'Odontologia Integrada Miret-Puig,"https://www.zoominfo.com/c/conform-group-of-companies/369058963

ConForm Automotive supplies premium quality sheets, roll goods, and custom thermoformed products to OEM's and converters primarily in the automotive industry. Works with BMW / CHRYSLER / FORD / GM / HONDA / NISSAN / TESLA / TOYOTA / VW and many others.

Data packs contain customers confidential agreements and purchase orders.",[],20 January 2022,[],"[BMW CHRYSLER, FORD, GM, NISSAN]",63a52adfe45bcae2d46b713f
RIVADIS,"The history of Wolsey Ltd can be traced back over two hundred and fifty years. As early as 1744 Henry Wood was trading in Leicester as a hosier. In 1935 the Company, in recognition of its high quality and commitment to service, was awarded the Royal Warrant",[Henry Wood],20 January 2022,[],"[Wolsey Ltd, Royal Warrant]",63a52ae0e45bcae2d46b7140
UNICRED,"Raveco is located in Forest Hills, NY, United States and is part of the Offices of Physicians Industry. Raveco has 17 total employees across all of its locations and generates $2.75 million in sales (USD). (Employees and Sales figures are modelled).",[],20 January 2022,"[Forest Hills, NY United States Offices Physicians Industry]","[Raveco, USD Employees Sales]",63a52ae0e45bcae2d46b7141
Claro Colombia,GryphTech is a global leader in real estate management technology and the preferred choice of real estate franchise networks around the world. For over 22 years,[],20 January 2022,[],[GryphTech],63a52ae0e45bcae2d46b7142
Ezz Steel,"is a social and health local unit intends to qualify as a results-driven company, able, therefore, to reconcile and meet the needs of different stakeholders that are part of the organization itself.",[],9 January 2022,[],[social health],63a52ae0e45bcae2d46b7143
Metro.Us,"Sadbhav Engineering Limited (SEL) is an Indian civil engineering and construction company headquartered in Ahmedabad, Gujarat. It was founded in 1988 by Mr. ... Patel (1942-2018) and the company has implemented projects in the construction of Roads & Highways, Bridges, Mining and Irrigation supporting infrastructure etc.",[],28 December 2021,[],[],63a52ae0e45bcae2d46b7144
Family Christian Health Center,Institute For Systems And Robotics,[],25 December 2021,[],[Institute For Systems],63a52ae0e45bcae2d46b7145
ConForm Automotive,"Founded in 2016 and headquartered in Zurich, Switzerland, MediaMarktSaturn Retail Group is a retail company for consumer electronics",[],22 December 2021,[Zurich],[MediaMarktSaturn Retail Group],63a52ae0e45bcae2d46b7146
WOLSEY,"Drake & Scull International PJSC is a global industry leader delivering state-of-the-art projects and solutions across its five main high-performance sectors including: General Contracting, Engineering, Rail, Oil and Gas, Infrastructure development, Water and Wastewater treatment.
Through its operations, it provides integrated design, smooth functionality and efficiency from start to finish.
From Infrastructure Development, Waste to Energy, Data Centres Development, Mechanical Electrical and Plumbing (MEP) to Renewable Energy, Drake & Scull continues to be at the helm, driving the market forward through the people, passion and innovation for more than 130 years.",[],20 December 2021,[],"[General Contracting Engineering Rail Oil Gas Infrastructure, Infrastructure Development Waste Energy Data Centres Development Mechanical]",63a52ae0e45bcae2d46b7147
Haselden Construction,"Bohlke International Airways was established in 1959 by Bill Bohlke, Sr., with the dream of starting an airline in the Caribbean and landed on the beautiful",[Bill Bohlke Sr],20 December 2021,[],[Bohlke International Airways],63a52ae0e45bcae2d46b7148
Raveco,"On 11.14.2021 SUPERNUS's network was compromised, encrypted and 1.5 terabytes of data were exfiltrated. Since then Supernus Inc. was in constant negotiations to prevent a disclosure of this incident because of pending acquisition of ADAMAS PHARMACEUTICALS, INC. On Nov. 24 SUPERNUS INC. filed this document https://sec.report/Document/0001104659-21-143352/. The document has not an information about the breach. SUPERNUS partners and consumers have to be aware about company’s unethical behavior. 

The exfiltrated data will uploaded soon.






We are a biopharmaceutical company focused on developing and commercializing products for the treatment of central nervous system (CNS) diseases.

Over the last 30 years, we have built an extensive expertise in product development. Initially, we were a stand-alone development organization, then a U.S. subsidiary of Shire plc and, in late 2005, we became Supernus Pharmaceuticals, Inc.

Market Cap 1.7B

Exfiltrated 1,268,906 files, 1.52 TB in total",[Cap],17 December 2021,[US],"[Supernus Inc, SUPERNUS INC, SUPERNUS, CNS, Shire plc, TB]",63a52ae1e45bcae2d46b7149
GryphTech,"APR Supply is a full-service distributor of plumbing, heating and cooling supplies.",[],14 December 2021,[],[APR Supply],63a52ae1e45bcae2d46b714a
Powell Transportation,"Johnson Memorial Health is a nationally recognized network of physicians and advanced practice providers that provides healthcare to Johnson County and surrounding areas. 
++++++++++++++++++++++++++++++++
Full patient info stolen.
150k DOB/SSN/Name+Surname
Diagnosis information
Next of kin
300GB of data from File Server stolen.",[],10 December 2021,"[Johnson County, GB]","[Johnson Memorial Health, stolen150k, File Server]",63a52ae1e45bcae2d46b714b
Unita Locale Socio,"Marten Transport, Ltd. operates as a temperature-sensitive truckload carrier for shippers in the United States, Canada, and Mexico. It operates through four segments: Truckload, Dedicated, Intermodal, and Brokerage. The Truckload segment transports food and other consumer packaged goods that require a temperature-controlled or insulated environment.

NASDAQ: MRTN

*** Exfiltrated files ***
114Gb downloaded total",[],6 December 2021,"[United States, Canada]","[Marten Transport Ltd, MRTN Exfiltrated]",63a52ae1e45bcae2d46b714c
Sadbhav Engineering Limited,XacBank provides integrated banking and financial solutions to consumer and MSMEs throughout its 80 nation-wide branches.,[],3 December 2021,[],[XacBank],63a52ae1e45bcae2d46b714d
Institute For Systems And Robotics (Isr-Lisboa,WAMGROUP offers the one-stop-solution for Bulk Solids Handling & Processing and Waste Water Treatment Equipment.,[Bulk],2 December 2021,[],[],63a52ae1e45bcae2d46b714e
MediaMarkt,"All of Macquarie Health Corporation. Since 1973, Australian-owned, Macquarie Health Corporation has been helping Australians by providing high quality, cost effective healthcare in the communities we serve. Today, we are one of the nation’s leading provider of healthcare services that includes 12 Private Hospitals, Macquarie Medical Systems, MacRehab, Machealth eHealth solutions and Pen CS ehealth informatics.

**** Exfiltrated files ****

Medical data of patients (medical records, medical records, research, personal data and much more for 6717 people, 62 Gb), financial documents, bank balances, tax deductions, joint projects of the company, insurance corporate forms, payrolls, budgets, fixed assets, insurance incidents, NDA, patient lists, medical documents of patients with all information, documents of court proceedings (private and confidential), medical examinations, documents and agreements of doctors, tax documents of doctors, leasing documents, scans of passports, driver's license scans, scans of personal and corporate bank cards, scans of medical care, salaries of employees, corporate and personal passwords from many public online services ( PayPal , ebay, citrix, amazon, square, amex, commbiz merchant, slack , skype, ASIC online, google ads , bing ads, go daddy, facebook, linkedin, portal. cloudtelecom, paymentsgateway. commbank, Quick books, NAS and generally all passwords , more than 1000 )

Downloaded 225 Gb total (119749 files).",[],1 December 2021,[],"[Macquarie Health Corporation, Macquarie Health Corporation, Private Hospitals, Pen CS, Medical, NDA, PayPal, amazon square amex, ASIC, NAS]",63a52ae1e45bcae2d46b714f
Drake & Scull International PJSC,"Shanghai Huizhong Automotive Manufacturing Co., Ltd. is located in Shanghai, Shanghai, China and is part of the Motor Vehicle Parts Manufacturing Industry. Shanghai Huizhong Automotive Manufacturing Co., Ltd. has 720 total employees across all of its locations. There are 2,476 companies in the Shanghai Huizhong Automotive Manufacturing Co., Ltd. corporate family.",[],1 December 2021,[],"[Shanghai Huizhong Automotive Manufacturing Co Ltd, Shanghai Shanghai, China Motor Vehicle Parts Manufacturing Industry, Shanghai Huizhong Automotive Manufacturing Co Ltd]",63a52ae1e45bcae2d46b7150
Bohlke International Airways,"Tite - Live Belgique is located in Mouscron, HAINAUT, Belgium and is part of the Computer Systems Design and Related Services Industry. There are 3 companies in the Tite - Live Belgique corporate family.",[],1 December 2021,[],"[Mouscron, HAINAUT Belgium Computer Systems Design Related Services Industry, Tite Live Belgique]",63a52ae1e45bcae2d46b7151
"Supernus Pharmaceuticals, NASDAQ: SUPN","It is committed to the R & D and production of electric motors and household vacuum cleaners. Its products are mainly oriented to European and American markets. It has passed UL, CE, CCC certification and meets the requirements of RoHS and reach directives of the European Union.",[],25 November 2021,[],"[RoHS, European Union]",63a52ae2e45bcae2d46b7152
APR Supply,Aria Systems is a company that provides a cloud-based platform for new market software development.,[],23 November 2021,[],[Aria Systems],63a52ae2e45bcae2d46b7153
Johnson Memorial Health,Mele Printing is one of the largest commercial printing companies in the New Orleans-Baton Rouge metro areas and serving the Gulf Coast region.,[Mele Printing],11 November 2021,[],[OrleansBaton Rouge],63a52ae2e45bcae2d46b7154
Marten Transport,"Vermeer Southeast is a full-service dealer of Vermeer industrial equipment across Florida, Georgia and Alabama. Established in 1967, the dealership has 11 locations in the region with more than 180 team members dedicated to sales, parts, and service. Now 100 percent employee-owned, the Vermeer Southeast team supports customers in the tree care, landscape, wood waste, organic recycling, and underground utility construction industries. Our corporate office is located in Orlando, Florida with branches in Boynton Beach, Clearwater, Ft. Myers, Jacksonville, Miami, Orlando, and Pensacola. We also have branches in Buford, Marietta and Savannah, Georgia, as well as, in Birmingham, Alabama and some International Locations.","[Vermeer, Clearwater Ft Myers]",8 November 2021,"[Florida, Georgia, Orlando, Florida, Miami, Orlando, Savannah, Georgia, Birmingham]","[Vermeer Southeast, Vermeer Southeast, Boynton Beach, Pensacola, Buford Marietta]",63a52ae2e45bcae2d46b7155
XacBank,"Coronis Health is a healthcare revenue cycle management and medical billing company offering global capabilities & specialized solutions. By using industry-leading technology combined with high-touch relationship building, Coronis Health allows healthcare practitioners & facilities to focus on patient care, maintain financial independence, and cultivate financial success.",[],6 November 2021,[],"[Coronis Health, Coronis Health]",63a52ae2e45bcae2d46b7156
WAMGROUP,comprehensive financial planning and investment advisory firm,[],16 October 2021,[],[],63a52ae2e45bcae2d46b7157
Macquarie Health Corporation,"EMCO IS A PROVIDER OF AUDIOVISUAL SOLUTIONS, NETWORKING, COMMUNICATION, SECURITY AND CONTROL SYSTEMS

With 24 years of experience in the professional audio and video sector, EMCO has positioned itself as a leading company in audiovisual solutions for Castilla y León, also covering the northern area (Asturias, Cantabria) and the central area with offices in Madrid and Valladolid.

With an unmatched offering and an integrated option, our company offers a wide variety of specialized cutting-edge technology products and services for specific projects and standard or custom applications.",[Castilla y Len],8 October 2021,"[Cantabria, Madrid]","[EMCO, CONTROL SYSTEMSWith]",63a52ae2e45bcae2d46b7158
"Shanghai Huizhong Automotive Manufacturing Co., Ltd.","We provide a wide range of services and expertise to our clients from bookkeeping, payroll, accounting to compliance tax work, auditing, business plans and financial forecasts, business advisory to due diligence work, advisin.",[],7 October 2021,[],[],63a52ae2e45bcae2d46b7159
Tite - Live Belgique,"Anthony Catalfano, President and Principal Designer, founded Anthony Catalfano Interiors in 1989. He brings a unique vision and versatility to every client project, residential and commercial. His work, from traditional to contemporary design, has been featured in a variety of regional and national publications from New England Home to Palm Beach Illustrated and Traditional Home magazines","[Anthony Catalfano, Principal Designer]",3 October 2021,[],[Anthony Catalfano Interiors],63a52ae2e45bcae2d46b715a
"Ningbo Dechang Electric Machinery Manufacturing Co., Ltd.","Greenway Health, LLC is a privately-owned vendor of health information technology (HIT) including integrated electronic health record (EHR), practice management, and revenue cycle management solutions. Intergy, Greenway’s cloud-based EHR and practice management solution, serves ambulatory healthcare practices. The company has offices in Tampa, Florida; and Carrollton, Georgia.",[],26 September 2021,"[Tampa, Florida, Georgia]","[Greenway Health, HIT, Intergy Greenways]",63a52ae2e45bcae2d46b715b
Aria Systems,"GK is Scandinavia's leading end-to-end technical contractor

With more than 3,000 employees and over 100 offices in Norway, Sweden and Denmark, we deliver smart and sustainable solutions for HVAC (heating, ventilation and cooling), building automation, electrical installations and plumbing.

We supplies an delivers the project design, installation, service and maintenance of technical systems in all commercial buildings.

Our projects comprise of large, complex engineering- and installation projects, such as hospitals, museums, theatres, hotels, data centers, airports, large office buildings and more.

**** Exfiltrated files will be published soon: financial documents, projects and employees data. Overall 500Gb of data ****",[GK Scandinavias],23 September 2021,"[Norway, Denmark]",[],63a52ae2e45bcae2d46b715c
Mele Printing,"Founded in 1938 and headquartered in Minneapolis, Minnesota, Ryan Companies offers construction, architecture etc.

****Exfiltrated files will be published soon.****",[],30 August 2021,[Minneapolis],[],63a52ae3e45bcae2d46b715d
Vermeer Southeast,"The Montour School District is a comprehensive public school system comprised of an elementary school, a middle school, and a high school. The community encompasses the suburban areas of Robinson and Kennedy Townships, the boroughs of Ingram and Thornburg, and Pennsbury Village, with a combined population of 36,000 residents. The heart of the family-oriented suburban community is located approximately 8 miles from downtown Pittsburgh and 9.7 miles from Pittsburgh International Airport.","[Robinson Kennedy Townships, Ingram Thornburg]",28 August 2021,"[Pennsbury Village, Pittsburgh]",[The Montour School District],63a52ae3e45bcae2d46b715e
MAS & Coronis Health,"At Northern Financial Services, we strive to make a difference in you and your family’s financial lives. We work to uphold a fiduciary standard to provide advice, services, and products that place our clients’ needs and desires first. Our approach is to actively manage your assets and offer guidance, allowing you to be part of each step of your financial planning. Our commitment and passion drive us daily to make a difference in our client’s and their loved ones’ lives.",[],25 August 2021,[],[Northern Financial Services],63a52ae3e45bcae2d46b715f
Sutterfield Financial Group,"W.H. Stovall & Company, Inc. is a fully licensed, bonded and insured Engineering Building Company that, in partnership with Architects, General Contractors, and Manufacturers, is designing state-of-the-art buildings for tomorrow.",[],23 August 2021,[],"[WH Stovall Company Inc, Engineering Building Company, Architects General Contractors]",63a52ae3e45bcae2d46b7160
EMCO,Net Ninjas provide business grade web hosting solutions and web development services. Our world-class web hosting.,[],20 August 2021,[],[],63a52ae3e45bcae2d46b7161
KBM UK,"GUTS GROUP
Largest security firm in Thailand",[],20 August 2021,[Thailand],[GUTS GROUPLargest],63a52ae3e45bcae2d46b7162
ANTHONY CATALFANO INTERIORS,"Advanced Geosciences Inc. (AGI) is the leading developer and manufacturers of resistivity/IP/SP imaging systems since 1989. We introduced our Sting/Swift resistivity imaging system at the European Association of Exploration Geophysicists (EAGE) conference in 1994, which introduced the resistivity imaging revolution. Since then, we’ve been producing state-of-the-art products for electrical resistivity and IP imaging.",[],20 August 2021,[],"[Advanced Geosciences Inc AGI, resistivityIPSP, StingSwift, European Association Exploration Geophysicists, IP]",63a52ae3e45bcae2d46b7163
Schuldnerberatung Ostfriesland e. V.,"Logistics Operator that provides comprehensive solutions in customs agency, cargo, transportation, storage and advice in different jurisdictions throughout the Peruvian territory.",[],20 August 2021,[],[Logistics Operator],63a52ae3e45bcae2d46b7164
Greenway Health,"Established in 1784 Gurteen is one of the most established premium brands in the UK today. The focus is all in the fit, fabrics and attention to detail that make the brand stand out from the crowd. From the warming comfort of woollen tweeds in the autumn winter season to the cooler cotton and linen blends in the summer, there is something for everyone. Well known for their stretch cottons chinos the collection embraces tailored jackets, cotton shirts and sweaters that make sure that whatever the occasion, Gurteen has clothing to suit every occasion.",[],17 August 2021,"[UK, Gurteen]",[],63a52ae3e45bcae2d46b7165
GK.NO,"SS Design has been helping our clients Live Your Brand since 1995. We pride ourselves on our ability to provide quality products, including name brand items, at exceptional prices while giving you the specialized attention you deserve.",[],17 August 2021,[],[SS Design],63a52ae3e45bcae2d46b7166
Ryan Companies,"Law Firm in Pennsylvania
Founded in 1988, Steven L. Sugarman & Associates is a regional law firm dedicated to providing clients with high-quality legal services in an efficient and economical manner.",[],17 August 2021,[],[Steven L Sugarman Associates],63a52ae4e45bcae2d46b7167
Montour School District,"The Florida Sugar Cane League is a non-profit trade association of Florida growers and processors. The League was founded in 1964 and serves the interests of the members and promotes their projects and activities. All sugarcane farmers, mills and refineries including U.S. Sugar Corporation, Florida Crystals Corporation and the Sugar Cane Growers Cooperative of Florida are members of the League.

The Florida Sugar Industry has a $3.27 Billion economic impact on the State and provides over 12,500 jobs in Florida.",[],16 August 2021,"[Florida, Florida, Florida]","[The Florida Sugar Cane League, The League, US Sugar Corporation Florida Crystals Corporation Sugar Cane Growers Cooperative, LeagueThe Florida Sugar Industry, State]",63a52ae4e45bcae2d46b7168
Ospray Video,"IBC24 (Indian Broadcast Channel 24), formerly Zee 24 Ghante Chhattisgarh, is a news channel that was formed on 1 October 2008. The channel focuses on regional news of Chhattisgarh & Madhya Pradesh regions of India. The channel separated from Zee networks on 28 March 2013 and launched itself with a new name IBC24. The channel is owned by S.B Multimedia Pvt Ltd. The channel's slogan is Sawaal Aap Ka Hai which means ""It's all about you"".","[Zee 24, Ka Hai]",9 August 2021,"[India, Zee]","[Ghante Chhattisgarh, Chhattisgarh Madhya Pradesh, SB Multimedia Pvt Ltd]",63a52ae4e45bcae2d46b7169
Brakke Asbestsanering BV,Rocky,[],9 August 2021,[],[],63a52ae4e45bcae2d46b716a
Northern Financial Services,"HI FLY is an airline company that specializes in providing medium to long term wet leasing and charter transportation services. It was founded in 1988 and is based in Lisbon, Portugal",[Lisbon Portugal],5 August 2021,[],[FLY],63a52ae4e45bcae2d46b716b
W.H. Stovall,"Mega Vision is a full service resource for the entire development process for Retail and Hospitality Interiors—from initial concept to the manufacture and installation of architecture, millwork, perimeter fixturing, casework, and loose fixture packages. Our fixtures can be manufactured from metal, wood, acrylic, glass, plastic, and foam. Although we specialize in custom projects, Mega Vision has developed its own extensive line of fixtures that can be acquired as-is or customized to meet your company’s brand expression.","[Retail Hospitality Interiorsfrom, Mega Vision]",3 August 2021,[],[],63a52ae4e45bcae2d46b716c
Net Ninjas,"Firm concentrates its legal practice in the areas of:
Personal Injury, Medical Malpractice, Workers’ Compensation, Social Security Disability, Railroad Accidents, Estate Planning and Administration, Guardianships, Car and Truck Accidents.",[],3 August 2021,[],[ofPersonal Injury Medical Malpractice Workers Compensation Social Security Disability Railroad Accidents Estate Planning Administration],63a52ae4e45bcae2d46b716d
"Guts Superpols Co., Ltd.","A global leader of software, data solutions and technology-enabled expert services for the commercial real estate industry

Special for:",[],2 August 2021,[],[],63a52ae4e45bcae2d46b716e
The Beacon Insurance Company Limited,"The Beacon Insurance Company Limited is ranked as the fourth largest insurer in Trinidad and Tobago. Our roots go back to 1972 when Mr Aziz Hadeed founded The Caribbean Insurance Company, passing the proverbial baton to his son, Gerald Hadeed, who sits at the helm today. The company was rebranded as The Beacon Insurance Company in 1996. The early years of the company were characterised by direct personal relationships between Aziz and his clients, rather than through Brokers and after 45 years of cumulative growth, Beacon is now a regional player with Branch Offices and an Agency network that spans Trinidad & Tobago, Barbados, Grenada, St Lucia, St Vincent & The Grenadines, St Kitts & Nevis, and Dominica. Beacon therefore enjoys a reputation as an emerging giant in the regional insurance industry.","[Aziz Hadeed, Gerald Hadeed, Aziz, Grenada St, Lucia St]",The Beacon Insurance Company Limited,[],"[The Beacon Insurance Company Limited, The Caribbean Insurance Company, The Beacon Insurance Company 1996, Beacon, Branch Offices Agency]",63a55f1eaf3cd017803f8ced
grantweber.com,"SCHERDELWiesauplast ist ein international tätiger Hersteller für Baugruppen und Komponenten aus Kunststoff. Der Hauptsitz des Unternehmens ist in Wiesau, weitere Niederlassungen befinden sich in den USA, sowie ein eigenes Produktionswerk in Mexiko.
Seit mehr als 50 Jahren steht der Name Wiesauplast für Erfahrung, Kompetenz und Innovation in Sachen Kunststofftechnik, eines der ersten Produkte war die Blinkerleuchte für den legendären VW Käfer.
SCHERDELWiesauplast fertigt in Deutschland und Mexiko eine Vielzahl technischer Komponenten und Systeme, welche sicherheitsrelevante Funktionen With over 35 years of experience since our inception, GRANT & WEBER has established a reputation as a leading authority in all revenue solutions & receivables management services for healthcare, Credit Union & Financial, as well as, Insurance industries. Our services are delivered nationwide and including: Consulting, Insurance Billing & Follow-Up, Self Pay Billing & Customer Service Follow-Up, Self Pay Collections, Third Party Liability Recovery, Workers’ Compensation Recovery, Pre-Charge Off Account Management, Third Party Late Stage Collection Services, and Arbitration.","[Kunststoff Der Hauptsitz, Produktionswerk MexikoSeit, Jahren, Name Wiesauplast, Erfahrung Kompetenz, Sachen Kunststofftechnik, Produkte, Blinkerleuchte, Vielzahl]",grantweber.com,"[USA, Deutschland, Komponenten]","[SCHERDELWiesauplast, Hersteller fr Baugruppen, Wiesau, Niederlassungen, VW, Mexiko, Funktionen, Credit Union Financial Insurance, Consulting Insurance Billing FollowUp Self Pay Billing Customer Service FollowUp Self Pay Collections Third Party Liability Recovery Workers Compensation Recovery PreCharge Off Account Management Third Party]",63a55f1faf3cd017803f8cee
wiesauplast.de,"SCHERDELWiesauplast ist ein international tätiger Hersteller für Baugruppen und Komponenten aus Kunststoff. Der Hauptsitz des Unternehmens ist in Wiesau, weitere Niederlassungen befinden sich in den USA, sowie ein eigenes Produktionswerk in Mexiko.
Seit mehr als 50 Jahren steht der Name Wiesauplast für Erfahrung, Kompetenz und Innovation in Sachen Kunststofftechnik, eines der ersten Produkte war die Blinkerleuchte für den legendären VW Käfer.
SCHERDELWiesauplast fertigt in Deutschland und Mexiko eine Vielzahl technischer Komponenten und Systeme, welche sicherheitsrelevante Funktionen im Automobil übernehmen. Angefangen bei Steuergehäusen für den Bremskraftverstärker, Bremsﬂüssigkeitsbehältern für das hydraulische Bremssystem, über Bauteile für ABS und ESP-Systeme, Komponenten und Baugruppen des Klimamanagement bis hin zu hochtemperaturbeständigen Luft und Wasserkästen als wichtigen Bestandteilen des Thermomanagements. SCHERDELWiesauplast ist heute Weltmarktführer für einige Produkte, so ist weltweit ungefähr jedes dritte Automobil mit Kunststoffteilen von SCHERDELWiesauplast ausgestattet.
Doch SCHERDELWiesauplast ist nicht nur im Bereich Automobile hervorragend aufgestellt. Kunststoffteile werden in allen Bereichen des täglichen Lebens benötigt, und so arbeitet SCHERDELWiesauplast mit namhaften Herstellern in der Industrietechnik, der Medizintechnik und vielen weiteren Bereichen zusammen.","[Kunststoff Der Hauptsitz, Produktionswerk MexikoSeit, Jahren, Name Wiesauplast, Erfahrung Kompetenz, Sachen Kunststofftechnik, Produkte, Blinkerleuchte, Vielzahl, Luft, Bestandteilen des Thermomanagements, Weltmarktfhrer, Produkte, Kunststoffteilen von SCHERDELWiesauplast, Kunststoffteile, Bereichen, Lebens bentigt und, Industrietechnik, Medizintechnik, Bereichen]",wiesauplast.de,"[USA, Deutschland, Komponenten, Automobil]","[SCHERDELWiesauplast, Hersteller fr Baugruppen, Wiesau, Niederlassungen, VW, Mexiko, Funktionen, Automobil, Angefangen, Bremssystem ber Bauteile, ESPSysteme Komponenten und Baugruppen des Klimamanagement, SCHERDELWiesauplast, SCHERDELWiesauplast, Bereich Automobile, SCHERDELWiesauplast]",63a55f1faf3cd017803f8cef
ni*usa.com,,[],ni*usa.com,[],[],63a55f1faf3cd017803f8cf0
rkw-group.com Disclose the compressed package password,"The RKW Group is an independent private company headquartered in Mannheim, Germany, and is one of the world's leading manufacturers of excellent film solutions. RKW is the market leader in the areas of hygiene and agricultural films, films for the beverage industry and packaging for powdery goods. Moreover, the company also supplies films and nonwovens for medical applications, for the chemical and processing industries as well as for the construction sector. The RKW Group's sustainable plastic-based films enable its customers to improve the daily life of consumers worldwide.",[],rkw-group.com Disclose the compressed package password,[Mannheim Germany],"[RKW Group, RKW]",63a55f1faf3cd017803f8cf1
nissin.com.br Disclose the compressed package password,Nissin Foods Do Brasil Ltda is a company that operates in the Food & Beverages industry. It employs 251-500 people and has $100M-$250M of revenue,[Brasil Ltda],nissin.com.br Disclose the compressed package password,[],"[Nissin Foods, Food Beverages]",63a55f1faf3cd017803f8cf2
"
                                    thedonovancompany.com                                ","
                            
                            A small boutique CPA firm located in Irvine California. We provide tax and accounting services to individuals and their businesses. Hands on assistance with tax planning, tax compliance and various other matters. We believe getting to know our client...                        ",[Irvine California],"

                                Updated: 22 Dec, 2022,   23:02 UTC
                            
",[],[],63a59472d6a9bedb9491554a
"
                                    maxionwheels.com                                ","
                            
                            Founded in 1908 and headquartered in Novi, Michigan, MAXION Wheels wheel manufacturer for passenger cars, light trucks, buses, commercial trucks, and trailers.                        ",[Novi Michigan],"

                                Updated: 22 Dec, 2022,   16:54 UTC
                            
",[],[],63a59473d6a9bedb9491554b
